"ID","Weightvar","age","state","region","income","ethnicity","education","party","candidate","headline_id","accuracy","headline_value","headline_status","fact_check_link","guessed_correctly"
"C1439719164",2.00941074849727,20,"California","West","Less than $25,000","Black or African American","Some college, no degree","Democrat","Hillary Clinton","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439720378",1.70623111621004,102,"Indiana","Midwest","Less than $25,000","Other race","Less than high school","Independent","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439721630",0.59302385498398,37,"New York","Northeast","$35,000 to $49,999","White","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439723184",0.765693397654372,60,"Florida","South","$25,000 to $34,999","White","Graduate or professional degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439720917",0.630970840518837,57,"New York","Northeast","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439725167",0.694676241826144,39,"Arizona","West","$25,000 to $34,999","White","Associate's degree","Independent","Hillary Clinton","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439725401",0.721222440143689,18,"West Virginia","South","Less than $25,000","White","Some college, no degree","Democrat",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146495976",2.27250558598861,32,"California","West","$25,000 to $34,999","Black or African American","Ph.D.","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1118033197",0.642720084739216,54,"Pennsylvania","Northeast","$25,000 to $34,999","White","Graduate or professional degree","Independent","Jill Stein","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144680789",0.63848155421099,35,"Illinois","Midwest","$50,000 to $74,999","White","Some college, no degree","Democrat","Hillary Clinton","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1147258154",0.579052238275037,30,"Arizona","West","$50,000 to $74,999","White","Ph.D.","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439724090",0.642720084739216,51,"Vermont","Northeast","$25,000 to $34,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439726129",1.33523837857433,58,"Illinois","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1133109312",2.11982246287929,28,"Virginia","South","$50,000 to $74,999","White","Associate's degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1147353611",0.70474085084175,22,"Arizona","West","Less than $25,000","Other race","Associate's degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1137328667",1.27245878565387,28,"Delaware","South","$35,000 to $49,999","Other race","Graduate or professional degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1043056199",1.23972721460262,53,"Michigan","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Independent","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1140725033",1.37696520825518,34,"California","West","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439730992",0.765693397654372,63,"West Virginia","South","$25,000 to $34,999","White","Associate's degree","Independent","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1100658337",1.2553792416756,62,"Tennessee","South","$75,000 to $99,999","White","Associate's degree","Republican","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1145259399",0.586576563496743,40,"California","West","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1076195425",0.697926435180417,77,"Kentucky","South","$50,000 to $74,999","White","Associate's degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1014450072",1.52715934746925,41,"Virginia","South","$35,000 to $49,999","Black or African American","Associate's degree","Independent","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144677482",0.963656965736794,30,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Other","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1142283225",2.07137965067389,25,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1140487780",0.765693397654372,63,"Florida","South","$25,000 to $34,999","White","Ph.D.","Independent","Other","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1142339441",2.57994941971613,26,"Florida","South","Less than $25,000","White","Bachelor's degree","Democrat",NA,"A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1146866833",1.95151217028091,31,"Texas","South","Less than $25,000","White","Associate's degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1438908931",0.90345227051585,76,"Indiana","Midwest","Less than $25,000","White","Associate's degree","Republican","Donald Trump","A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439743125",0.770635291586188,54,"California","West","Less than $25,000","White","Some college, no degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1093548639",0.681977213099476,58,"California","West","$50,000 to $74,999","White","Bachelor's degree","Independent","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1047763389",1.09075965043091,59,"New Jersey","Northeast","$75,000 to $99,999","White","Some college, no degree","Republican","Donald Trump","A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1138554951",1.8537111309568,28,"Maryland","South","$25,000 to $34,999","Black or African American","Ph.D.","Democrat","Hillary Clinton","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141656093",0.765521993084965,34,"Washington","West","$50,000 to $74,999","White","Graduate or professional degree","Independent",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1070024363",1.40916793216201,34,"Tennessee","South","$75,000 to $99,999","White","Graduate or professional degree","Independent","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1036669023",1.41359073709348,65,"California","West","$50,000 to $74,999","Black or African American","Ph.D.","Democrat","Hillary Clinton","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144904834",1.37696520825518,32,"California","West","$75,000 to $99,999","White","Graduate or professional degree","Independent",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439747489",0.708267147544739,26,"New York","Northeast","$50,000 to $74,999","White","Ph.D.","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141323780",2.07332873097462,35,"Washington","West","$75,000 to $99,999","Other race","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1146608354",1.14845411915376,37,"Nebraska","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439748530",3.44718368588576,29,"Maine","Northeast","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439749574",1.33523837857433,59,"Ohio","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1140011536",1.40916793216201,30,"Texas","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146732767",0.635276804824806,30,"Colorado","West","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1033123687",0.762636662671286,71,"North Carolina","South","$35,000 to $49,999","White","Ph.D.","Independent","Other","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1141174313",0.78525041186465,21,"Utah","West","$25,000 to $34,999","Other race","Associate's degree","Independent","Gary Johnson","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1101928293",1.28325595005508,62,"Michigan","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Independent","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439751781",1.91826053264934,47,"New York","Northeast","$75,000 to $99,999","Other race","Associate's degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1147268458",0.600294675625689,50,"West Virginia","South","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1145002115",0.585836757813313,44,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1100906197",0.782696236992401,58,"Minnesota","Midwest","$25,000 to $34,999","White","Some college, no degree","Independent","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144042231",0.730594154538575,46,"Tennessee","South","Less than $25,000","White","Some college, no degree","Independent",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141331846",0.78921172566725,52,"Kansas","Midwest","$50,000 to $74,999","Other race","Bachelor's degree","Independent","Other","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1089742203",0.782696236992401,60,"Ohio","Midwest","$25,000 to $34,999","White","Associate's degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1101216631",1.65140748717991,61,"Virginia","South","$25,000 to $34,999","Black or African American","Bachelor's degree","Democrat","Hillary Clinton","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1145745311",1.13787854544597,21,"Washington","West","$50,000 to $74,999","Other race","Graduate or professional degree","Democrat","Hillary Clinton","A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1145967575",1.05509120209333,52,"Oregon","West","$75,000 to $99,999","White","Bachelor's degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1102065061",0.68947309028607,82,"Pennsylvania","Northeast","$35,000 to $49,999","White","Ph.D.","Independent","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1139501819",0.587763244582133,27,"Pennsylvania","Northeast","$25,000 to $34,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1038065317",0.67075532355674,59,"Florida","South","$50,000 to $74,999","White","Graduate or professional degree","Other","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1143539297",2.07137965067389,25,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1093156746",0.735884037056358,63,"Texas","South","$25,000 to $34,999","White","Ph.D.","Republican","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1139080844",3.81298225972538,32,"Florida","South","$75,000 to $99,999","Other race","Ph.D.","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146668057",0.691903015392675,36,"California","West","$35,000 to $49,999","White","Ph.D.","Republican",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439766115",0.710922452758741,51,"Texas","South","$25,000 to $34,999","White","Associate's degree","Independent",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1126029641",0.70047656305937,52,"Ohio","Midwest","$25,000 to $34,999","White","Associate's degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439768178",1.07976634310186,43,"Florida","South","$75,000 to $99,999","White","Ph.D.","Independent","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1119728166",0.595400762431603,48,"New York","Northeast","$25,000 to $34,999","White","Bachelor's degree","Republican","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1143705720",1.134944394369,56,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Independent","Hillary Clinton","A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1147212536",0.708267147544739,32,"New York","Northeast","$50,000 to $74,999","White","Bachelor's degree","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1145189638",0.54270538690888,40,"Massachusetts","Northeast","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439776041",0.765521993084965,29,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1142215196",2.05640431025274,19,"Louisiana","South","Less than $25,000","Black or African American","Some college, no degree","Republican",NA,"A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1146109765",0.78342505500703,30,"Texas","South","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1043892669",0.7134244544705,59,"Minnesota","Midwest","$50,000 to $74,999","White","Ph.D.","Independent","Other","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1147221626",2.27250558598861,29,"Montana","West","$25,000 to $34,999","Other race","Some college, no degree","Other",NA,"A","not very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1142221058",0.963656965736794,31,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1101707063",0.745208663262054,82,"California","West","$35,000 to $49,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1140997809",2.11982246287929,26,"Louisiana","South","$50,000 to $74,999","White","Ph.D.","Democrat",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1142277565",0.856062529354088,32,"Georgia","South","$35,000 to $49,999","White","Associate's degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146757539",0.697926435180417,67,"Louisiana","South","$50,000 to $74,999","White","Graduate or professional degree","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1124334895",0.735884037056358,68,"Florida","South","$25,000 to $34,999","White","Ph.D.","Democrat",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1023524456",0.779571624744114,70,"Illinois","Midwest","$35,000 to $49,999","White","Bachelor's degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1100638515",0.662631077498803,66,"New York","Northeast","$35,000 to $49,999","White","Some college, no degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1135943646",0.856062529354088,23,"Florida","South","$35,000 to $49,999","White","Ph.D.","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146524979",1.70093620471884,46,"Alabama","South","Less than $25,000","Black or African American","Graduate or professional degree","Democrat",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
